user_name,review_date,stars,user_location,review_text,check_ins,cool_rating_count,useful_rating_count,funny_rating_count,review_photos,previous_review,elite_status,user_link,user_friends,user_photos,user_reviews
Courtney J.,12/31/2018,5,"Chicago, IL","I adore this neighborhood bakery. It is a few blocks from where I live, so I find myself here on many weekend mornings. Everything is so fresh -- from the made to order sandwiches, to the freshly baked breads and pastries. The delicious smells from the kitchen and the large crowds say it all! I have only been here in the winter, but I imagine the patio would be a great place to enjoy a quick coffee and bite. The only suggestion I have is to potentially have a better system for keeping track of ""to-go"" orders. I've waited quite a while for to-go items that were forgotten by the staff who took my order.",0,1,0,1,[],[],elite,https://www.yelp.com/user_details?userid=aqkJ_0_ILP_myoK5-r2G-Q,263,10,61
Sabrina G.,12/23/2018,5,"Chicago, IL","I've been dreaming of quiche and croissants as good as the ones I had in Paris. Everything here is phenomenal and baked daily. We've had all types of croissants, muffins, macaroons, and quiche here. My favorite is the salmon and leek quiche. Stop be here, it's a hidden gem. The bread is to die for and smells up the whole bakery.",1,0,0,0,['https://s3-media4.fl.yelpcdn.com/bphoto/SqCN8-oJyTMMKSQr7TVJxg/348s.jpg'],[],elite,https://www.yelp.com/user_details?userid=LlGh8vFtBvix42rxV4pLNQ,195,82,51
Alfie B.,10/10/2018,5,"Columbia, SC","We came to La Boulangerie after recommendation from my cousin and it just happened to be very close to the Airbnb we stayed at. The cafe has a very warm and inviting ambiance. There's communal tables inside and a few tables outside. The majority of the staff speak French, and it's located right next to a French school. I ordered the salmon and leek quiche, which came with a small side salad.  My girlfriend ordered the strawberry mille-feuille. We also ordered a bunch of macarons for ourselves as gifts for family. All of the items were delicious and the staff was very friendly and attentive. I would definitely recommend checking this place out!",0,1,0,0,"['https://s3-media4.fl.yelpcdn.com/bphoto/oLYVKGYRJ1Q53LJrBbQDlQ/348s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/V7vqiri3bWhnR6_Og3D1Rw/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/mCEC5RBQWaG1KbcaSJS4mQ/168s.jpg']",[],elite,https://www.yelp.com/user_details?userid=mymQszIbCFxauVKKFJJJmw,16,323,106
Anna L.,10/9/2018,5,"Columbia, SC","This is a great breakfast spot. Even better if you're looking to practice French, as the staff speaks French, and there's a French Academy right across the street. Tables are communal style inside, and there's plenty of patio seating outside. Boyfriend ordered the quiche and a side salad for breakfast, while I got a strawberry millefeuille. Both were very tasty. We walked out with gift boxes of macarons too, and they were pretty, well-constructed, and delicious. Very laid-back atmosphere.",0,1,1,1,[],[],elite,https://www.yelp.com/user_details?userid=1aah9YdCNeLL19cir15J4g,28,145,176
Jordan E.,10/2/2018,3,"Chicago, IL","Everytime i go here im like, wait a minute, is this a school open house? always filled with kids running around and parents and parents and parents greeting each other so unfortunately not a perfect place for a quiet coffee chat. really good pastries so i just make it to go.",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=0ANzg9raswfpMowYzTn-jQ,0,6,20
Devon S.,9/22/2018,1,"Chicago, IL","call first if you want french bread. Called around noon on a Saturday and they were already sold out and it would have been a wasted trip if I had not called. Of course, I could've waited can hour! Obviously bad management or immature kids who can't handle running a business.",0,0,0,1,[],[],not elite,https://www.yelp.com/user_details?userid=pn-rIREjI6gg8im8oUQCHg,2,19,79
Heather P.,8/26/2018,5,"Chicago, IL","We walk 25 minutes to this little cafe to bring home their delicious baguette. We could go to any umber of supermarkets much closer to home, but this bread is exceptional. Returning from living abroad in Europe, it's hard to find a bakery that does fresh, good bread and the supermarket ""bakeries"" just don't suffice anymore. The croissants here are great - but like some other reviewers have said, more dense and less layered like the authentic ones you might crave. Still good though.",0,4,2,1,[],[],elite,https://www.yelp.com/user_details?userid=ZqFaaSTsbT2LcIEObjFkkw,193,35,106
Emma L.,8/25/2018,3,"Chicago, IL","I have had a fair share amount of French pastries and based on the yelp review I tried this place for the first time. I had croissants, tart and a piece of flan from this place. The flan and tart were pretty good though one thing I need to say about the flan is that the crust was all soggy and had an unpleasant texture. The croissants were a little disappointing as they were not so French and more of the American style. They did not have many thin layers and are more bready, heavy and dense. Overall the pastries that I has are just the average but I am willing to try other things they have next time.",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=ToNUBUoIeCtRCsrpyx7h-w,36,2,9
Samantha P.,8/11/2018,5,"Chicago, IL","They have such a large variety of items, and I want to try all of them! From savory sandwiches, breakfast sandwiches, and crepes, to sweet cakes, macaroons, and breads they have it all! Prices are reasonable and everything is so fresh! Will be coming back!",1,0,1,1,[],[],not elite,https://www.yelp.com/user_details?userid=biANPjNK4jOmbfAhEnR4pw,6,36,46
Megan C.,8/3/2018,5,"Chicago, IL","A great little cafe off Damen, with a welcoming outdoor patio and plenty of indoor communal seating. When you walk in, you're immediately greeted by cases and cases of pastries and treats. The staff is clearly a hard working team of bakers, and you can tell by the full cases! I was served by a French woman, and coincidentally the French school is right next door. I will be coming back soon to try the coffee. Today I just got some pastries and treats, all of which were lovely! My favorite was definitely the almond croissant, and my boyfriend loved the ham and cheese one.",1,1,2,1,['https://s3-media3.fl.yelpcdn.com/bphoto/hwoFsaddgmbQx5igvbh9xg/348s.jpg'],[],elite,https://www.yelp.com/user_details?userid=_gIEB_Oz0OotU8X5aXr4tg,207,146,246
Jessica A.,8/2/2018,5,"Kenosha, WI","It was my first time here, and actually my first time trying a French Macaroon. They were very good but I could only eat half of one in a sitting as it was a bit too sweet for me. BUT DELICIOUS. I had the S'more s one, my daughter had the Chocolate, and I will be taking my husband a Raspberry one home. He has a sweet tooth so I'm sure he will appreciate these. I live they have outdoor seating as well. Service was fast and friendly. Will most likely stop by the next time I am in town. Can't wait to try all the other flavors!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=N8cXWjNTqsWa_8sIY0jMIQ,0,0,2
Tana M.,8/1/2018,4,"Lisle, IL","This place was a nice addition to the building where I have an appointment a few times a year. Would come in and bang out some work and have some decent (not exceptional) coffee. BUT, I'm sitting here thinking this is my last time. Croissants (dairy, egg, flour-per their sign) are $3.50 each. They forgot to add air, which is about 50% of a croissant. So, after tax and 20% tip) I just spent almost $10 for two! Outta here!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=nPLRy7Jq2RGuNLw1ium_bg,57,0,1
Jeff K.,7/18/2018,5,"Chicago, IL","The pastries, coffee, sandwiches and service are great. Our daughter's preschool is in the building, so I've been dozens of times and have never been disappointed. Another gem in Ravenswood!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=HBOFzVE1jHJu_GRSYoz3bg,10,0,56
Anna G.,7/7/2018,5,"Evanston, IL","I stopped here quite randomly as I was walking past, just a few minutes before closing and I'm so glad I was able to sneak in! They had these tiny pearl sugar crusted putechoux type pasties that simply melt in your mouth and their macarons are delicious and adorable. Some of the best flavor options around too. I took the s'mores and the minion ones for myself for later and grabbed a few gorgeous looking canelles to share with my sister. The little pastry mentioned earlier never made it off the premises. Yum! I'll definitely have to come back in the morning sometime and try their breads to take on a picnic and pretend I'm in Paris.",0,1,1,0,['https://s3-media4.fl.yelpcdn.com/bphoto/E2TW_HGX6-rbVuiQ5hiDpw/348s.jpg'],[],elite,https://www.yelp.com/user_details?userid=4tkkDeJ9pAMfrsj920fazg,13,89,65
Michael M.,6/28/2018,5,"Chicago, IL","I was walking down the street and I saw what I thought was a French restaurant. My wife and I love French food, pastries, bread, and of course wine. I walked to the front and saw a woman and asked if it was a restaurant and continued to ask her questions until she said she didn't work there. Embarrassing.... However, she did have her favorites. I walked in and reviewed the menu on the wall. Right away a gentlemen came up to me from the back in street clothes and asked if I had any questions. I had a lot of questions. Robert had every answer from time of day everything was prepperd. To the cost of each item I inquired to the penny. He gave me a sample of their version of a donut hole and it was amazing. I grabbed my wife the butter and sugar crepes, chocolate croissant and a hot chocolate. After leaving I was left with such a good impression. I walked back in and asked his name and told him I was so appreciative and impressed by his customer service. My wife and I are both managers at separate restaurants within the city. Most importantly my wife and her friend loved the baked items. We will be back. Thank you Robert for your above and beyond commitment to excellence. I know you were done your work day and I appreciate the extra effort. See you soon.",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=RY4duBL5hRkEFpNKUthDXg,0,0,4
Delphine D.,6/20/2018,5,"Chicago, IL","I strongly recommend this marvelous place! Food there is just delicious and especially the macaron. The waiters are very professional and friendly, the service is always great and there is an outdoor space during summer that is very enjoyable.",0,0,1,0,[],[],not elite,https://www.yelp.com/user_details?userid=IQIzjXCtEzipotep9otsJQ,6,0,4
Jillian N.,6/8/2018,3,"Barrington, IL","Just moved into the neighborhood and this is the first brunch spot we tried. On a whim on our way out of town this morning we stopped in, in hopes of a breakfast sandwich and my first impression was how charming and social this place is. There were many conversations and work meetings going on, giving this place a warm and casual feel. I ordered the Normandie (croissant, egg, onions, tomato, Brie) and my guy got the Nordic (croissant, egg, avocado, greens, salmon). We grabbed a table and had only a short wait until they brought our plates out. My sandwich was fabulous, definitely would order again, but my guy didn't like his and thought the flavors were a bit off together. I also think it was rather overpriced, he was still hungry after his sandwich and wanted a plain croissant but it was $4, $25 on two small breakfast sandwiches and a croissant is a bit much in my opinion so we passed. Can't give more stars because this place was dirty. Several tables needed to be wiped down, the coffee bar was littered, there were only a few cups left to serve yourself water and each one I flipped was visibly dirty but only semi busy. They also had a basket out on the counter of croquettes with a sign that said ""freshly baked croquettes!"" which to me and several others read as ""sample me"" but that was not the case and the staff seemed surprised and corrected us. Sorry but a basket of small hand food with a sign that boasts about them being fresh definitely makes it look like a sample! And for the price I wouldn't buy the pastries without trying them first so it seemed smart to have samples. When all is said and done, this place is charming and I liked my sandwich but I wish it had been cleaner or more reasonably priced. I'm sure living in the neighborhood I'll be back to try more, hopefully next time the weather will cooperate and I can sit outside in their adorable little patio.",0,0,0,1,[],[],not elite,https://www.yelp.com/user_details?userid=UBsc4RKDogrgpOkwP2YRWQ,210,11,39
Sonja M.,6/2/2018,5,"Chicago, IL","I just stopped by this cafe for the first time. I have to say it is the best cafe I have ever tried. The ham and cheese croissant was to die for. I had one and had to go back in and take one to go for later. His place is small, but seems to do great business! I will be planning to come back next time I'm in the area. This is a must try. I would give it 10 stars if I could!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=VtVHE3QE-k06oHnkenycLg,63,2,22
Kim F.,6/1/2018,4,"Willoughby, OH","My girlfriend is from Chicago and has raved about this as a breakfast hot spot. In my mind I was expecting a pretentious, white-glove, sparse portion experience. On my most recent trip back to the Ravenswood neighborhood to visit family, I discovered just how far removed my perception was from reality.La Boulangerie is a simple, relaxed, casual spot that served up a very tasty meal. I had a bacon and egg croissant and my girlfriend had the Nordic, a croissant served with salmon. Her mom had a plain croissant and coffee. I and my girlfriend enjoyed lattes.Our breakfast sandwiches were heartier than I expected, the croissants were fresh and fairly good sized. The greens were crisp, and the lattes were rich and flavorful.We ordered pastries to take back to Ohio. The macaron variety was plentiful and a bit on the pricey side, but they were fresh and flavorful. My girlfriend highly recommended the almond croissant, though I opted for chocolate and some raspberry pastries to give as a gift.I enjoyed the casual atmosphere here. It was bright and cheery, even when it was rainy and overcast outside. We ate at community tables with bench seating, but it was easy to enjoy conversation without having to strain to hear. The people were friendly, too--patrons and employees alike. This was an enjoyable, filling breakfast meal. I will be happy to come back on the next trip!",1,0,0,0,"['https://s3-media3.fl.yelpcdn.com/bphoto/-7Sa1xXVN7idZqHbhdW_cA/348s.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/N0-CLwKLMhl1YqdoYzCIvw/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/oxAjHdk3_dYVeWwCr7AvNg/168s.jpg']",[],elite,https://www.yelp.com/user_details?userid=cvQ6T7vvc0dLnLB_3gzTJw,167,74,48
Adam L.,6/1/2018,5,"Chicago, IL","Excellent sandwiches! Brought me right back to Parisian sandwich shops. Very cute interior and the staff was kind and helpful. Desserts look great too, but grabbed some to go and haven't tried yet.",0,0,1,1,[],[],not elite,https://www.yelp.com/user_details?userid=VpHQW0vAioVLRHdR4fzOCQ,2,0,9
Grace Y.,5/13/2018,3,"Chicago, IL","Oooooh I want to love Boulangerie so much. They are SO good at what they're good at... but they struggle so much in other areas that - if they got right - would make them crush it.Their croissants and other baked goods are so so so lovely and scrumptious.....But the second you switch to ordering prepared foods, things have a tendency to fall apart. Obviously these are first world problems but here are recent examples:  Ordered a lemon crepe from the menu.... when it came it was plain and the manager said ""oh sorry we are out of lemon."" Did they know that when we ordered? Or did it happen after? Why not communicate that to us and give us an option to reorder? Ordered a crepe dish and asked them for Brie instead of mozzarella inside... ""no problem"" - but it came with mozzarella (and barely warm inside and egg on top was not adequately cooked). Our four dishes came at very different times... my kids were done w their breakfast by the time mine came. Bottom line- it feels like they are one person short and that communication internally could be improved, s'il vous plait!!!",0,0,3,0,[],[],not elite,https://www.yelp.com/user_details?userid=YoEcIxzMzXt02bDMsLOkMA,0,0,16
Vee G.,5/10/2018,5,"Chicago, IL",Ordered some chocolate Éclairs and they were a hit!  Everyone loved them!  Friendly and professional staff!  I also tried their coffee (perfection!),0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=LZKyxlhHHuluUHph1wIXpQ,1,0,25
Kelsey V.,4/28/2018,4,"New Orleans, LA","Let me begin by saying the pastries are incredible! I have not had a better croissant in Chicagoland.Yet, the sandwiches, in my opinion, always leave something to be desired. I have ordered the veggie special sandwich and the Normandie. The veggie special was in dire need of salt- there was so little brie! They forgot the brie entirely on the Normandie sandwich I ordered, and had put less than a teaspoon of caramelized onions on the entire sandwich. The nice lady behind the kitchen counter gave me extra brie when I returned it. It's not that the sandwiches are inedible, not at all, just lacking in something! Perhaps because I am ordering the vegetarian sandwiches? I feel like the addition of one or two more ingredients or sauces, etc would make them stellar.But go! for! the! pastries!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=HTIZGzVKaEN7iv888WUqDw,119,0,3
Saira K.,4/7/2018,4,"Atlanta, GA",Cute bakery in Ravenswood! Stephanie was as nice as can be. They have samples of bread served with balsamic vinegar. Delicious! Croissant was huge And so good heated! Crepe was so good. Service is excellent! Attached to a school!,0,7,11,6,"['https://s3-media3.fl.yelpcdn.com/bphoto/i43B7irOgbBOigZSzpmMOg/348s.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/UTG9CUNHd2eUfUxprliAqw/168s.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/d_cNoThdf_Z7bYoj10Xjww/168s.jpg']",[],elite,https://www.yelp.com/user_details?userid=OV6JZ1M5ov65F8PWQzhG-Q,1126,1146,1261
Allyson M.,"4/1/2018
            





Updated review",4,"Chicago, IL","I dont see that UNfriendly guy anymore in the morning! Yey!! Hoping he didnt just go on vacation but he is gone  for good. Fortunately, he was replaced by a much warm, friendly, cuter guy in the morning and that made my croissant taste better.",0,0,0,0,[],"{'stars': 3, 'review_date': '3/3/2018\n            \nPrevious review', 'review_text': 'I would really like to give this place a 5 because I love their ham and cheese croissant but they always run out whenever I go there!!!! When they know this is one of their hot selling items, why cant they just make more or make more FASTER!Most of the time, their staff are really friendly except for one, the african american guy who I always see there in the morning. I know he is always doing something whenever I walk in there but he doesnt even look at my direction whenever he hears the door open. He was just right there at the counter. And worse, he knows I would be standing there infront of him and waiting for him to even say ""hi"" even after I said hi to him nor say ""I\'ll be right with you when Im done with this"" but no, nada, not a word. We wouldnt even look at me and seems like soooo focused on making a coffee. Its just coffee!!! I always feel like Im being ignored by him, Only by HIM! Every time!!! He is such a snob and not very friendly. Im not sure why they are still keeping him because obviously, he lacks good customer service. Maybe he is one of the owners and i just have to deal with him whenever I want to have their croissant! Customer service can be improved especially if its his job! he just have to pretend he is nice and friendly if its not in his character. That will make their croissants taste better.', 'review_feedback': {'review_type': ['Useful', 'Funny', 'Cool'], 'review_count': ['0', '1', '0']}}",not elite,https://www.yelp.com/user_details?userid=iWYTdgaTzg7atp9BK5sppw,0,0,12
Layne S.,2/24/2018,3,"Northbrook, IL","Food is great.  This is one of those silly reviews about service. Food is great. If you can get it. Extremely inefficient layout with one r""register"". Long lines and demanding self involved customers makes what could be a 2 minute interaction take significantly longer. If I see more than 2 people in line I pass.  That said I was second in line and the woman in front of me changed her mind about items and began ordering new items at the register. I had a freaking croissant in my hand waiting to check out. Selfishly it would have been significantly more efficient and customer friendly to let me pay for my 1 item. Foods good yet my time is worth more and the annoying customers suck.",0,0,1,2,[],[],not elite,https://www.yelp.com/user_details?userid=xI3uGokFQM06ta-wRFzWLQ,3,1,77
Tony C.,1/28/2018,5,"Tacoma, WA","Absolutely the best baguette and croissants in Chicago!!! The baguette is as should be, crusty on the outside and soft on the inside, it is in darker shadow white, and with the right consistency.  The croissant are just perfect.  have need traveler living as a tour operator in the past 30 years and this is as good as any baking shop in French!!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=llaeoJ05lGhGjjx47f3nBA,0,1,6
Elizabeth H.,1/15/2018,4,"Chicago, IL","We look forward for Saturday morning walks to the Boulangerie. Everything is great there...our favorites are the ham & cheese croissant, bacon and Swiss quiche and the pistachio macaroons. The grocery items are priced high...I get it but if you know someone in Europe, better have them bring to you if visiting. Great place!",0,0,1,1,[],[],elite,https://www.yelp.com/user_details?userid=FBdooMwXnfXMTsfcEOULWg,43,99,134
Sherri S.,11/26/2017,5,"Hoffman Estates, IL",Did a quick search for a bakery in the area to bring to a last minute party and got lucky!  The macaroons were absolutely amazing and croissants were so buttery and delicious. Definitely a must have! Everything I brought was eaten and people were raving about the desserts.,0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=JhLGQOzKS9Esw4GLJmyfwA,3,0,25
Lauren L.,11/18/2017,1,"Lakeview, Chicago, IL","Adorable place and the latte was great! Giving it a low score because the quiche Lorraine was horrible, inedible really. It was so dry it was almost hard. The bread and croissants looked good. But i would never go back. A French cafe should never serve quiche like that!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=zZbWJHnvjQfdYNalcjMQTg,0,1,7
David Z.,11/13/2017,5,"Chicago, IL","Fantastic, freshly baked baguettes and great coffee in a cozy atmosphere.",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=iEqZF7ptkZmMyBzDowX3vw,0,0,6
Salena C.,11/8/2017,4,"Chicago, IL","La Boulangerie came through with the sweetest service, spacious seating in both the cafe and patio areas, and delicious macarons. The macarons were priced at $2.25 a piece, which is on par with their competition. They boasted a large variety of flavors, ranging from floral to fruity to chocolatey, and both my friend and I noted that the macarons are much larger than normal. Either way, we completely devoured our entire box in one sitting :) My only complaint is that they offer a 5-piece box for $11.90, which is confusing because $2.25 (the price per individual macaron) x 5 macaron = $11.25 total, so you're essentially paying more for a box instead of getting a deal. Weird...Parking is a little difficult, but it's steps away from the Damen Brown Line, which makes it simple to access. I will be adding La Boulangerie to my list of dessert rotations for sure!",1,10,13,5,"['https://s3-media1.fl.yelpcdn.com/bphoto/M4vopNFzWH880YvfwVeSXQ/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/6sPTFeJd0kLWF1R9VNlhtg/168s.jpg']",[],elite,https://www.yelp.com/user_details?userid=f0SHitrEqc5k0DwWyPlY9w,1158,1040,401
Julia M.,10/21/2017,5,"Chicago, IL","A Hidden Gem!  Ordered several different types of croissants, quiches and sandwiches (there with a group).  And every single thing was good...really good.  Nothing beats freshly made pastries.Luckily for my health and waistline it is NOT within walking distance.",0,0,2,1,[],[],not elite,https://www.yelp.com/user_details?userid=JCtr9wtNRefrjyA3IQV3xA,0,7,44
Jenny H.,10/17/2017,5,"Chicago, IL","This place is cozy and cute from it's little market shelf of French goodies with nougats, cookies, and Bonnie Maman jam (including a countdown to Christmas calendar with 25 mini jam jars!) to the colorful display of macarons and pastries.The 5 stars is mainly a relative review for the macarons as they have the best I've tried in Chicago so far. Even when not fresh as the crust would crack in flakes, the cookie was still soft to the bite with a distinctive chew bounce, just the way I like them. The ganache is not too sweet but flavorful and creamy. I've tried the pistachio and chocolate- both were good. Just wish they were a bit fresher so the outer shell would be softer.Also tried chocolate croissant and a regular croissant. Both while warm, which warms your souls as you bite in. The only thing I'd have to come back for is to see if the croissant has more inner layers when cooled as they stick and taste a bit bread-like when warm. The outer crust is perfectly browned and delicately crisp. Pretty sure this will be my go to for macaron craving days from now on. A bit on the expensive side though at $2.25 a pop.",2,0,0,0,['https://s3-media4.fl.yelpcdn.com/bphoto/Pskq_CPZZSRTTsLcPoWQcg/348s.jpg'],[],elite,https://www.yelp.com/user_details?userid=TjhCjRQT8-Fn9smhbuUQ8Q,166,8,138
George M.,10/17/2017,5,"Mount Prospect, IL",Yummy soft tasty hot goodness of a breakfast sandwich. I stopped in for a quick sandwich after searching the neighborhood for a good place to eat. Upon entering the establishment I was warmly greeted by the guy behind the counter who asked me what I wanted to order. Since it was my first time in the place I asked for a minute to review the menu. He politely told me to take my time and whenever I was ready he would take my order. Perfect. At no point did I feel rushed or pressured to order quickly. After placing my order I waited for a few minutes and then was presented my sandwich in a neatly folded white paper bag.Bottom line - if I am in the neighborhood again I will definitely sample other items on the menu and hope they are as tasty as my morning breakfast sandwich.,0,0,1,0,"['https://s3-media4.fl.yelpcdn.com/bphoto/5DhgXK36lUh_6kBW96suIg/348s.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/XQ0mBjUH-13StC0EWyC6IA/168s.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/zz87dWU8B8WxGj1D198P0g/168s.jpg']",[],elite,https://www.yelp.com/user_details?userid=fPFSUEO30dg6jZODSEBmug,5,218,63
